species,n
Viola nephrophylla Greene,2
Viola selkirkii Pursh ex Goldie,2
Acer glabrum Torr.,1
Aconitum columbianum Nutt.,1
Amelanchier alnifolia (Nutt.) Nutt.,1
Anemone drummondii subsp. drummondii,1
Angelica arguta Nutt.,1
Angelica genuflexa Nutt.,1
Antennaria anaphaloides Rydb.,1
Arnica montana subsp. montana,1
Artemisia tripartita Rydb.,1
Blitum hastatum Rydb.,1
Botrychium lunaria var. lunaria,1
Botrychium montanum Wagner,1
Braya humilis subsp. humilis,1
Braya humilis subsp. maccallae J.G.Harris,1
Caltha leptosepala subsp. howellii (Huth) P.G.Sm.,1
Campanula uniflora L.,1
Carex athrostachya Olney,1
Carex canescens L.,1
Carex capillaris L.,1
Carex capitata Sol.,1
Carex concinnoides Mack.,1
Carex eburnea Boott,1
Carex geyeri Boott,1
Carex lenticularis Michx.,1
Carex paysonis Clokey,1
Carex praticola Rydb.,1
Carex scirpoidea var. pseudoscirpoidea (Rydb.) Cronquist,1
Carex scirpoidea var. scirpoidea,1
Castilleja cusickii Greenm.,1
Castilleja lutescens (Greenm.) Rydb.,1
Centaurea montana L.,1
Cerastium beeringianum subsp. earlei (Rydb.) Hultén,1
Cirsium arvense (L.) Scop.,1
Claytonia megarhiza (Gray) Parry ex S.Watson,1
Clematis occidentalis var. grosseserrata (Rydb.) J.S.Pringle,1
Corydalis aurea Willd.,1
Cryptogramma acrostichoides R.Br.,1
Cryptogramma cascadensis E.R.Alverson,1
Cryptogramma stelleri (S.G.Gmel.) Prantl,1
Cypripedium parviflorum var. pubescens (Willd.) O.W.Knight,1
Deschampsia cespitosa subsp. cespitosa,1
Descurainia Webb & Berthel.,1
Diphasiastrum Holub,1
"Doellingeria engelmannii (D.C.Eaton) Semple, Brouillet & G.A.Allen",1
Draba lanceolata Royle,1
Elymus glaucus Buckley,1
Epilobium minutum Lindl. ex Lehm.,1
Equisetum palustre L.,1
Equisetum variegatum Schleich.,1
Erigeron acris subsp. kamtschaticus (DC.) H.Hara,1
Erigeron grandiflorus Hook.,1
Erigeron pallens Cronquist,1
Erigeron purpuratus Greene,1
Eriogonum ovalifolium var. nivale (Canby ex Coville) M.E.Jones,1
Eriogonum umbellatum var. umbellatum,1
Erythranthe tilingii (Regel) G.L.Nesom,1
Festuca idahoensis Elmer,1
Festuca minutiflora Rydb.,1
Fragaria vesca L.,1
Galearis rotundifolia (Banks ex Pursh) R.M.Bateman,1
Gaultheria ovatifolia A.Gray,1
Gentianella propinqua subsp. propinqua,1
Geocaulon lividum (Richardson) Fernald,1
Geum calthifolium Menzies ex Sm.,1
Geum macrophyllum var. macrophyllum,1
Geum triflorum Pursh,1
Goodyera oblongifolia Raf.,1
Gypsophila paniculata L.,1
Huperzia selago (L.) Bernh. ex Schrank & Mart.,1
Hydrophyllum capitatum Douglas ex Benth.,1
Hypericum formosum Kunth,1
Isoetes echinospora Durieu,1
Juniperus communis var. kelleyi R.P.Adams,1
Kalmia microphylla (Hook.) A.Heller,1
Ligusticum canbyi (J.M.Coult. & Rose) J.M.Coult. & Rose,1
Lomatium brandegeei (J.M.Coult. & Rose) J.F.Macbr.,1
Lupinus L.,1
Lupinus arcticus subsp. subalpinus (Piper & B.L.Rob.) D.B.Dunn,1
Lupinus nootkatensis var. nootkatensis,1
Melica spectabilis Scribn.,1
Muhlenbergia thurberi (Scribn.) Rydb.,1
Orchidaceae,1
Oxytropis campestris var. cusickii (Greenm.) Barneby,1
Oxytropis campestris var. varians (Britton & Rydb.) Barneby,1
Oxytropis sericea Nutt ex Torr. & A.Gray,1
Papaver radicatum subsp. kluanensis (D.Löve) D.F.Murray,1
Parnassia kotzebuei Cham. & Schltdl. ex Spreng.,1
Paxistima myrsinites (Pursh) Raf.,1
Pedicularis bracteosa var. bracteosa,1
Penstemon pruinosus Douglas,1
Petasites frigidus var. palmatus (Aiton) Cronquist,1
Physaria didymocarpa subsp. didymocarpa,1
Picea engelmannii subsp. engelmannii,1
Pinguicula macroceras Pall. ex Link,1
Pinus contorta var. latifolia Engelm.,1
Platanthera aquilonis Sheviak,1
Platanthera huronensis Lindl.,1
Poa glauca subsp. glauca,1
Poa secunda J.Presl,1
Populus trichocarpa Torrey & A.Gray,1
Potentilla glaucophylla var. glaucophylla,1
Potentilla hyparctica subsp. elatior (Abrom.) Elven & D.F.Murray,1
Pseudathyrium alpestre (Hoppe) Newman,1
Ranunculus acris L.,1
Rhinanthus minor subsp. minor,1
